Spp1,Spp2,Divergence_D,Divergence_I
P_arc,P_dun,0.93,0.76
P_arc,P_hes,0.67,0.45
P_arc,P_lan,0.94,0.76
P_arc,P_nas,1.00,0.96
P_arc,P_oph,0.82,0.64
P_arc,P_por,1.00,1.00
P_arc,P_yuc,0.77,0.69
P_dun,P_arc,0.93,0.76
P_dun,P_hes,0.80,0.59
P_dun,P_lan,0.62,0.43
P_dun,P_nas,0.97,0.94
P_dun,P_oph,0.78,0.58
P_dun,P_por,1.00,1.00
P_dun,P_yuc,0.98,0.87
P_hes,P_arc,0.67,0.45
P_hes,P_dun,0.80,0.59
P_hes,P_lan,0.88,0.67
P_hes,P_nas,0.99,0.92
P_hes,P_oph,0.50,0.38
P_hes,P_por,1.00,1.00
P_hes,P_yuc,0.79,0.56
P_lan,P_arc,0.94,0.76
P_lan,P_dun,0.62,0.43
P_lan,P_hes,0.88,0.67
P_lan,P_nas,0.80,0.67
P_lan,P_oph,0.73,0.52
P_lan,P_por,0.97,0.84
P_lan,P_yuc,0.97,0.85
P_nas,P_arc,1.00,0.96
P_nas,P_dun,0.97,0.94
P_nas,P_hes,0.99,0.92
P_nas,P_lan,0.80,0.67
P_nas,P_oph,0.92,0.81
P_nas,P_por,0.97,0.84
P_nas,P_yuc,0.99,0.95
P_oph,P_arc,0.82,0.64
P_oph,P_dun,0.78,0.58
P_oph,P_hes,0.50,0.38
P_oph,P_lan,0.73,0.52
P_oph,P_nas,0.92,0.81
P_oph,P_por,1.00,1.00
P_oph,P_yuc,0.77,0.55
P_por,P_arc,1.00,1.00
P_por,P_dun,1.00,1.00
P_por,P_hes,1.00,1.00
P_por,P_lan,0.97,0.84
P_por,P_nas,0.97,0.84
P_por,P_oph,1.00,1.00
P_por,P_yuc,1.00,1.00
P_yuc,P_arc,0.77,0.69
P_yuc,P_dun,0.98,0.87
P_yuc,P_hes,0.79,0.56
P_yuc,P_lan,0.97,0.85
P_yuc,P_nas,0.99,0.95
P_yuc,P_oph,0.77,0.55
P_yuc,P_por,1.00,1.00
